Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Gender,Relationship_Status,Hometown,Unit,Decision_skill_possess,Compensation_and_Benefits,Attrition_rate
41.0,4,18.0,1,64,0,2,5.0,4.0,3,-0.9612,-0.4537,2.0,2,8,4,0,0,0,7,2,2,0.1008
28.0,4,6.0,1,22,1,3,7.0,1.0,3,-0.1048,1.8688,2.0,3,7,3,0,1,3,2,3,3,0.0871
42.0,4,24.0,4,52,0,2,5.0,3.0,3,-1.8176,-0.4537,1.0,3,9,4,1,0,3,2,3,3,0.0449
37.0,3,10.0,2,66,1,4,5.0,2.0,3,-0.1048,-2.7762,1.0,2,5,4,0,0,3,10,1,3,0.1544
60.0,3,27.0,3,38,1,3,4.0,1.0,2,0.7516,-0.4537,2.0,1,8,3,1,0,2,10,0,2,0.0068
24.0,4,5.0,4,22,0,3,6.0,2.0,4,-1.8176,-0.4537,2.0,3,8,5,1,0,3,8,1,2,0.2197
54.0,1,23.0,2,29,2,1,6.0,1.0,3,-0.1048,-0.4537,2.0,4,6,4,0,0,1,2,2,3,0.1379
50.0,4,27.0,1,54,0,3,7.0,4.0,3,-0.1048,-0.4537,3.0,3,7,5,0,1,2,2,3,0,0.2384
54.0,1,15.0,2,27,0,3,6.0,2.0,3,0.7516,0.7075,2.0,4,8,3,0,0,2,5,2,2,0.1313
34.0,2,12.0,2,23,2,1,5.0,1.0,3,-0.1048,-0.4537,2.0,5,5,3,1,0,2,11,2,4,0.042
56.0,1,20.0,3,47,1,5,5.0,1.0,3,-0.9612,-0.4537,2.0,2,8,3,0,0,3,3,1,2,0.1675
37.0,4,12.0,4,59,1,2,4.0,3.0,3,0.7516,0.7075,2.0,3,8,3,0,1,3,3,2,4,0.9262
58.0,4,22.0,3,59,0,3,4.0,2.0,3,-0.1048,-0.4537,3.0,2,6,5,1,0,3,3,3,2,0.1291
28.0,5,5.0,3,71,1,2,5.0,1.0,4,-0.9612,-0.4537,2.0,3,8,3,1,0,1,10,1,3,0.1577
32.0,5,6.0,4,57,1,4,5.0,3.0,1,-0.9612,0.7075,2.0,2,5,3,1,0,1,8,2,2,0.0645
44.0,5,8.0,1,52,0,3,3.0,3.0,3,-0.9612,0.7075,2.0,1,8,4,0,1,1,0,2,3,0.1883
49.0,3,21.0,2,46,0,2,8.0,1.0,2,0.7516,-0.4537,2.0,4,7,3,0,0,1,10,1,3,0.255
51.0,5,13.0,4,63,1,2,5.0,4.0,3,-0.9612,-0.4537,1.0,2,7,3,1,1,3,3,3,2,0.472
54.0,3,15.0,4,51,0,2,8.0,3.0,4,-0.9612,-0.4537,2.0,5,7,3,0,0,1,2,3,2,0.1183
54.0,2,19.0,1,72,1,2,5.0,3.0,4,0.7516,0.7075,3.0,4,8,4,0,1,2,7,1,3,0.0026
60.0,3,21.0,2,29,0,4,5.0,2.0,3,-0.9612,1.8688,2.0,3,7,3,0,1,1,2,1,2,0.1475
36.0,3,9.0,4,61,1,5,4.0,4.0,3,-0.1048,-2.7762,2.0,3,8,4,0,0,4,3,3,3,0.1746
26.0,1,4.0,2,43,1,1,8.0,1.0,2,-0.1048,-1.615,2.0,4,7,3,0,0,3,4,1,2,0.1136
29.0,2,5.0,4,32,0,3,6.0,3.0,3,-0.1048,0.7075,3.0,4,8,4,0,0,2,2,2,2,0.0386
42.0,3,12.0,2,69,1,3,3.0,5.0,3,-0.1048,0.7075,2.0,3,6,3,1,0,0,11,3,2,0.4098
30.0,3,8.0,3,58,1,3,6.0,1.0,3,-0.1048,1.8688,2.0,2,8,3,0,1,1,9,1,2,0.0059
42.0,4,10.0,3,40,0,5,7.0,1.0,3,-0.1048,1.8688,2.0,3,7,5,1,1,1,5,3,3,0.089
65.0,1,32.0,1,72,0,3,5.0,3.0,4,-0.1048,-0.4537,1.0,4,6,5,0,0,2,1,0,3,0.2695
50.0,5,18.0,2,59,2,3,7.0,2.0,3,-0.1048,-0.4537,2.0,3,8,4,0,1,3,2,1,2,0.1526
24.0,2,5.0,2,38,1,2,8.0,3.0,3,0.7516,0.7075,2.0,3,8,3,1,0,0,10,2,2,0.4841
45.0,4,11.0,2,39,1,4,9.0,3.0,3,-1.8176,-0.4537,1.0,2,8,4,1,0,4,10,2,2,0.0578
46.0,5,7.0,3,50,0,3,3.0,1.0,3,-1.8176,-1.615,2.0,3,8,3,0,0,4,1,3,2,0.0634
25.0,5,6.0,3,70,0,5,4.0,1.0,3,0.7516,0.7075,2.0,3,7,2,0,0,3,7,1,2,0.1431
23.0,3,4.0,3,24,1,1,5.0,1.0,5,-0.9612,0.7075,1.0,4,8,3,0,0,3,0,2,2,0.4611
20.0,3,1.0,1,23,1,3,8.0,4.0,3,-0.9612,0.7075,2.0,3,8,3,0,1,3,10,1,2,0.284
58.0,4,29.0,3,57,1,3,9.0,2.0,3,-0.1048,1.8688,2.0,4,8,3,0,0,1,8,0,2,0.1482
60.0,4,23.0,4,33,1,4,8.0,3.0,1,-0.1048,0.7075,3.0,3,6,5,0,0,4,3,2,3,0.1993
22.0,1,3.0,2,34,2,1,7.0,2.0,3,-0.1048,-0.4537,2.0,2,8,2,1,0,2,2,0,2,0.1031
20.0,3,1.0,1,67,2,2,4.0,3.0,4,0.7516,-0.4537,2.0,3,8,3,0,0,2,3,1,2,0.2388
59.0,3,28.0,2,20,1,1,4.0,1.0,4,-0.9612,-0.4537,2.0,1,5,3,0,1,0,2,3,2,0.6453
47.0,3,24.0,1,67,1,1,1.0,3.0,3,-0.9612,-1.615,3.0,3,8,3,0,0,1,8,2,4,0.1186
53.0,3,30.0,2,33,1,2,7.0,1.0,3,0.7516,-0.4537,1.0,4,7,3,0,0,1,6,0,2,0.2676
36.0,4,13.0,1,28,0,4,6.0,1.0,1,-0.9612,-0.4537,2.0,4,6,5,1,0,3,2,0,2,0.094
35.0,3,6.0,3,66,1,3,6.0,2.0,3,0.7516,-0.4537,2.0,1,7,2,1,0,3,3,2,2,0.0363
22.0,5,3.0,1,61,1,2,4.0,1.0,1,1.6081,-0.4537,2.0,2,5,5,1,0,1,6,2,3,0.035
42.0,4,19.0,4,27,1,3,5.0,4.0,4,-1.8176,-0.4537,3.0,2,5,3,0,0,2,1,0,2,0.0163
35.0,4,13.0,4,49,1,2,6.0,4.0,3,-0.1048,0.7075,2.0,3,8,3,0,0,4,2,1,2,0.1629
39.0,3,13.0,2,59,2,3,5.0,5.0,2,0.7516,0.7075,2.0,2,8,5,0,1,3,10,2,3,0.0579999999999999
31.0,3,4.0,3,55,2,5,7.0,1.0,3,-1.8176,0.7075,1.0,1,5,3,0,0,3,10,3,3,0.1529
37.0,4,3.0,2,36,0,3,5.0,2.0,4,0.7516,0.7075,3.0,3,5,3,1,0,2,5,1,2,0.1309
44.0,3,16.0,1,50,2,3,8.0,4.0,3,-0.1048,1.8688,1.0,3,7,4,0,0,2,2,3,2,0.1956
24.0,3,5.0,4,60,1,2,6.0,2.0,3,0.7516,0.7075,2.0,2,7,5,0,0,2,2,3,3,0.0344
25.0,1,6.0,4,68,0,4,8.0,2.0,3,0.7516,-0.4537,2.0,2,8,5,0,0,2,8,3,3,0.2396
32.0,3,4.0,4,38,1,5,7.0,4.0,4,0.7516,-0.4537,2.0,2,6,2,0,0,3,9,3,2,0.1938
32.0,3,10.0,3,62,1,2,4.0,3.0,3,-0.1048,-0.4537,1.0,2,7,3,0,0,1,4,0,0,0.1589
21.0,3,2.0,2,33,2,3,6.0,2.0,3,-0.1048,-0.4537,3.0,4,8,4,1,1,3,5,1,3,0.1826
31.0,2,3.0,2,73,1,4,4.0,3.0,4,0.7516,-0.4537,1.0,3,5,4,0,1,0,5,2,3,0.7367
51.0,4,25.0,4,65,1,3,7.0,3.0,3,-0.1048,-0.4537,2.0,2,8,4,0,1,1,5,0,2,0.1293
37.0,3,9.0,2,56,2,5,8.0,2.0,3,-0.1048,1.8688,3.0,4,6,4,0,0,2,7,3,2,0.1212
30.0,5,6.0,3,49,0,4,5.0,4.0,2,-1.8176,-0.4537,2.0,4,5,5,1,1,3,5,2,2,0.6957
27.0,3,3.0,1,63,0,3,8.0,3.0,3,-1.8176,1.8688,3.0,2,6,5,0,1,1,2,2,3,0.2334
36.0,2,14.0,4,57,0,2,7.0,3.0,3,1.6081,0.7075,2.0,3,6,3,1,0,2,2,0,2,0.0151
27.0,3,3.0,1,29,2,4,5.0,3.0,3,-0.1048,1.8688,2.0,3,8,3,1,1,3,9,1,3,0.0213
59.0,4,22.0,4,49,1,3,7.0,3.0,4,1.6081,-1.615,2.0,3,7,4,0,0,4,3,0,2,0.2573
38.0,2,5.0,3,47,0,1,6.0,1.0,3,-0.1048,0.7075,2.0,4,6,3,1,0,1,5,3,4,0.2365
65.0,3,36.0,4,63,1,3,6.0,1.0,4,1.6081,0.7075,3.0,4,8,3,0,0,4,1,3,2,0.2514
45.0,3,14.0,3,72,1,2,4.0,1.0,2,0.7516,0.7075,2.0,1,7,2,0,1,3,2,2,2,0.1657
24.0,2,5.0,3,33,0,3,8.0,3.0,3,-1.8176,0.7075,2.0,4,9,4,0,0,1,2,1,2,0.4422
28.0,3,5.0,1,53,1,3,6.0,3.0,3,-1.8176,0.7075,1.0,2,9,5,0,1,2,6,1,3,0.235
54.0,5,21.0,4,57,1,5,9.0,2.0,3,-0.1048,-1.615,2.0,4,5,3,1,0,4,3,0,2,0.004
42.0,4,7.0,2,60,1,1,4.0,2.0,4,-0.1048,-0.4537,2.0,3,5,3,0,0,4,2,2,2,0.5882
59.0,3,30.0,1,55,0,2,4.0,2.0,3,0.7516,0.7075,1.0,4,7,3,0,0,1,0,3,2,0.2572
56.0,5,21.0,3,69,1,2,4.0,3.0,3,-0.1048,0.7075,2.0,4,7,3,0,0,3,0,3,2,0.0012
31.0,4,9.0,3,62,0,2,8.0,1.0,4,-0.9612,-0.4537,2.0,4,7,3,0,0,0,9,3,2,0.0226
37.0,3,12.0,1,55,0,3,3.0,4.0,3,-0.1048,-0.4537,2.0,2,7,3,0,0,1,5,1,2,0.1409
41.0,3,11.0,4,61,1,1,4.0,3.0,3,-1.8176,0.7075,2.0,2,8,3,1,1,3,5,2,3,0.14
37.0,5,14.0,3,46,2,1,8.0,3.0,3,-0.1048,1.8688,2.0,2,5,4,0,0,4,5,2,2,0.1046
24.0,3,5.0,3,68,0,3,6.0,1.0,3,-0.1048,-0.4537,2.0,3,5,3,0,1,3,1,2,1,0.0385
28.0,3,4.0,1,48,0,3,1.0,1.0,3,-0.9612,-2.7762,2.0,2,8,2,1,0,2,10,3,0,0.7559
50.0,3,19.0,2,64,1,3,6.0,2.0,3,-0.9612,-0.4537,2.0,3,5,3,0,0,2,5,3,2,0.0195
50.0,4,20.0,2,36,1,1,6.0,1.0,3,-0.1048,-0.4537,2.0,3,7,3,0,1,1,1,0,2,0.2702
62.0,4,23.0,4,65,1,1,5.0,3.0,3,0.7516,-0.4537,2.0,2,6,3,0,0,1,10,2,3,0.1402
54.0,3,17.0,2,33,1,3,2.0,3.0,5,-0.9612,0.7075,2.0,3,7,3,0,0,3,10,0,2,0.1892
20.0,3,1.0,1,37,0,2,8.0,4.0,3,0.7516,1.8688,2.0,2,7,3,0,1,3,7,3,3,0.5122
47.0,3,21.0,1,65,1,1,5.0,3.0,3,0.7516,-0.4537,2.0,3,8,4,0,0,2,7,1,3,0.0969999999999999
35.0,5,11.0,3,59,0,4,5.0,1.0,3,-0.1048,0.7075,2.0,3,9,3,1,1,1,9,0,2,0.0269
26.0,4,3.0,1,70,1,5,6.0,3.0,3,0.7516,0.7075,2.0,4,8,3,0,1,1,3,2,2,0.1776
51.0,4,17.0,2,73,1,2,8.0,3.0,4,1.6081,-0.4537,2.0,2,7,3,0,1,1,7,1,2,0.0242
59.0,4,34.0,2,53,1,2,7.0,2.0,3,-0.1048,0.7075,2.0,4,8,3,1,0,2,5,1,2,0.2974
31.0,5,6.0,1,22,1,2,6.0,2.0,4,-1.8176,-0.4537,2.0,4,7,3,0,0,2,10,2,2,0.1512
19.0,4,0.0,0,42,1,2,7.0,3.0,2,-0.1048,1.8688,2.0,3,8,3,0,0,0,11,0,2,0.1638
60.0,3,38.0,3,21,1,3,1.0,1.0,3,-0.1048,-0.4537,2.0,3,6,3,0,0,3,2,1,3,0.0726
42.0,3,18.0,4,69,1,3,4.0,1.0,4,-0.9612,-0.4537,2.0,2,7,2,0,1,3,9,0,2,0.0211
27.0,4,5.0,3,40,0,1,7.0,3.0,3,-0.1048,-0.4537,1.0,3,7,2,1,0,2,5,0,2,0.1772
20.0,4,1.0,1,47,0,2,9.0,1.0,4,-0.1048,-0.4537,2.0,3,8,2,1,1,2,2,0,2,0.7234
37.0,3,8.0,3,73,0,2,8.0,4.0,3,-0.1048,0.7075,1.0,3,8,3,0,0,2,1,0,1,0.0518
63.0,3,38.0,3,59,1,4,4.0,3.0,3,-0.1048,-0.4537,1.0,4,8,3,1,0,2,2,3,2,0.0671
31.0,2,3.0,2,37,1,3,10.0,2.0,4,-0.1048,-0.4537,2.0,3,8,3,0,0,0,1,3,2,0.1462
32.0,2,10.0,2,24,1,5,7.0,3.0,3,0.7516,-2.7762,2.0,4,6,3,1,1,2,5,0,2,0.083
38.0,2,18.0,3,31,2,3,6.0,1.0,1,-0.1048,-0.4537,2.0,3,7,2,1,0,1,5,3,3,0.7402
28.0,4,5.0,2,69,1,3,7.0,1.0,1,-1.8176,-0.4537,2.0,3,6,5,1,1,4,0,0,3,0.1732
63.0,3,38.0,1,35,0,3,3.0,4.0,3,0.7516,-0.4537,2.0,4,8,3,1,0,1,2,2,2,0.2795
26.0,3,3.0,2,48,1,2,3.0,4.0,5,-0.9612,-0.4537,3.0,3,8,5,0,0,1,0,3,2,0.1588
46.0,2,21.0,1,55,0,5,6.0,2.0,5,0.7516,-0.4537,3.0,3,7,3,1,0,3,10,3,3,0.9696
20.0,3,1.0,1,40,1,4,1.0,2.0,3,0.7516,-0.4537,2.0,3,8,5,1,0,0,2,1,4,0.1887
47.0,4,25.0,3,30,1,2,8.0,1.0,3,0.7516,-0.4537,2.0,3,5,4,0,0,2,9,1,2,0.0508
24.0,3,5.0,1,58,2,1,5.0,3.0,4,-0.1048,0.7075,2.0,4,6,2,0,0,1,10,1,2,0.1657
63.0,3,37.0,2,39,0,3,5.0,1.0,4,-0.1048,-0.4537,2.0,2,8,4,1,0,3,3,2,2,0.0482
19.0,4,0.0,0,44,0,4,4.0,3.0,4,1.6081,0.7075,1.0,2,5,3,0,0,2,4,1,2,0.001
56.0,3,26.0,1,74,1,2,8.0,1.0,5,-0.1048,-0.4537,3.0,3,5,4,1,1,2,3,2,2,0.0242
61.0,3,23.0,4,35,0,3,6.0,3.0,3,-0.1048,-0.4537,3.0,4,8,3,0,0,4,10,2,3,0.1162
26.0,4,2.0,2,55,1,5,7.0,3.0,3,-0.1048,0.7075,3.0,3,8,3,0,0,1,1,2,4,0.2907
19.0,4,0.0,0,68,1,3,9.0,3.0,3,0.7516,0.7075,3.0,3,6,3,1,0,3,9,3,2,0.0505
46.0,5,18.0,3,58,2,4,7.0,2.0,4,1.6081,-1.615,1.0,3,6,3,0,1,4,4,3,2,0.1175
26.0,3,3.0,2,32,0,3,6.0,4.0,4,-0.1048,1.8688,2.0,3,6,3,1,1,3,7,1,2,0.074
24.0,1,5.0,2,39,2,1,5.0,3.0,1,-0.1048,-0.4537,2.0,4,9,4,1,1,1,5,2,3,0.4052
59.0,4,35.0,4,34,0,2,8.0,3.0,3,-0.1048,-0.4537,1.0,3,5,3,0,1,2,9,2,4,0.2223
25.0,3,6.0,1,48,1,3,6.0,1.0,3,0.7516,-0.4537,3.0,1,7,2,1,1,2,2,2,2,0.1663
19.0,3,0.0,0,37,0,3,5.0,3.0,3,0.7516,0.7075,2.0,4,7,3,0,0,4,4,2,2,0.0617
64.0,4,27.0,1,59,2,2,8.0,4.0,3,-0.9612,0.7075,2.0,4,6,3,1,0,4,10,0,3,0.1744
42.0,4,15.0,3,53,0,3,7.0,5.0,2,0.7516,-0.4537,2.0,3,5,3,0,1,1,3,2,3,0.0834
43.0,3,4.0,4,21,0,1,8.0,2.0,3,-0.1048,-0.4537,2.0,3,6,3,0,0,1,6,1,2,0.0579
26.0,4,3.0,3,66,2,4,4.0,2.0,3,0.7516,0.7075,3.0,2,9,3,1,1,2,3,2,2,0.2229
42.0,2,26.0,4,70,1,2,7.0,1.0,3,-0.1048,-0.4537,2.0,3,8,5,1,1,1,2,0,2,0.2345
19.0,4,0.0,0,45,0,3,8.0,2.0,3,-1.8176,-0.4537,3.0,2,8,3,0,0,4,3,2,3,0.1622
30.0,4,8.0,1,67,0,4,5.0,3.0,3,0.7516,0.7075,1.0,3,5,3,0,0,2,2,1,3,0.0785
19.0,1,0.0,0,20,1,3,4.0,4.0,3,-1.8176,-0.4537,2.0,4,8,2,1,0,2,2,1,2,0.2276
51.0,4,27.0,2,69,0,4,5.0,3.0,3,-1.8176,-0.4537,3.0,3,8,4,1,1,2,7,0,2,0.024
58.0,3,32.0,2,66,1,1,6.0,4.0,4,-0.9612,-0.4537,2.0,4,6,1,0,1,2,9,0,2,0.2394
19.0,3,0.0,0,20,1,3,9.0,2.0,5,-0.9612,-0.4537,2.0,4,8,3,0,1,2,1,2,2,0.1863
24.0,1,5.0,3,65,0,3,9.0,4.0,3,-0.1048,-0.4537,2.0,2,8,3,0,0,1,1,0,2,0.0553
35.0,4,12.0,2,32,2,4,8.0,1.0,3,-0.1048,-0.4537,2.0,3,5,4,1,0,2,5,0,4,0.2109
37.0,5,10.0,2,72,0,4,6.0,3.0,4,-0.1048,-0.4537,1.0,2,5,3,0,0,2,7,3,2,0.0949
19.0,4,0.0,0,65,1,3,5.0,2.0,3,-1.8176,0.7075,2.0,2,5,3,0,0,1,10,2,3,0.8190000000000001
31.0,3,3.0,3,27,1,3,6.0,2.0,4,-0.1048,-0.4537,2.0,3,6,3,1,1,2,0,1,2,0.1176
35.0,3,13.0,4,61,0,1,8.0,2.0,3,-1.8176,0.7075,1.0,1,7,1,0,0,4,6,0,3,0.9391
29.0,3,6.0,3,52,1,3,5.0,2.0,3,-0.1048,-0.4537,1.0,2,5,3,1,0,2,7,1,3,0.1092
58.0,4,27.0,1,53,2,3,10.0,1.0,3,0.7516,0.7075,1.0,4,8,3,0,0,2,7,2,2,0.1715
62.0,5,35.0,3,24,2,4,6.0,4.0,3,0.7516,-0.4537,2.0,3,7,3,1,0,1,3,2,1,0.1213
40.0,3,16.0,4,58,0,4,5.0,3.0,3,-0.1048,-0.4537,2.0,3,6,3,1,1,2,0,0,2,0.1623
38.0,3,13.0,3,41,1,2,6.0,2.0,1,-0.1048,-0.4537,2.0,3,9,4,0,0,2,2,3,0,0.1108
21.0,3,2.0,2,53,1,3,6.0,4.0,3,-0.1048,-0.4537,3.0,3,6,1,0,0,0,5,3,0,0.0932
53.0,1,25.0,3,25,0,2,8.0,1.0,5,0.7516,1.8688,2.0,3,8,3,0,0,1,3,3,3,0.0069
38.0,4,10.0,4,63,1,2,7.0,3.0,3,0.7516,0.7075,1.0,3,8,5,1,0,3,3,1,2,0.1015
50.0,1,28.0,4,24,2,4,7.0,1.0,3,0.7516,0.7075,1.0,2,8,5,1,1,1,0,0,2,0.1001
40.0,3,14.0,1,57,1,2,6.0,1.0,3,-0.9612,-0.4537,2.0,5,7,3,1,0,3,3,3,2,0.0543
32.0,1,7.0,1,35,1,2,8.0,2.0,4,0.7516,-0.4537,1.0,2,7,3,0,1,1,9,2,2,0.5428
37.0,3,8.0,1,72,1,3,3.0,1.0,3,0.7516,0.7075,2.0,2,8,3,0,0,1,3,2,3,0.0836
46.0,3,7.0,4,71,1,2,8.0,3.0,3,-0.1048,0.7075,2.0,2,8,3,0,0,3,5,0,0,0.085
27.0,3,3.0,1,62,0,2,4.0,3.0,3,-0.1048,-0.4537,2.0,4,8,1,0,0,0,6,3,3,0.0108
27.0,4,4.0,3,67,1,4,8.0,3.0,3,0.7516,1.8688,2.0,2,5,4,1,1,2,7,2,3,0.8835
52.0,3,25.0,1,38,1,3,9.0,3.0,2,-0.1048,-0.4537,2.0,2,7,3,1,1,2,5,3,3,0.0091
20.0,5,1.0,1,68,0,1,8.0,3.0,3,-0.1048,1.8688,2.0,3,7,4,0,0,3,5,2,3,0.0942
55.0,4,29.0,1,66,1,3,4.0,2.0,4,0.7516,0.7075,2.0,3,8,3,0,0,4,8,2,3,0.2214
26.0,4,3.0,1,28,1,5,9.0,2.0,3,-1.8176,1.8688,1.0,4,7,4,0,0,3,3,1,3,0.0019
